AverageDiscountedReturn,LossBefore,dLoss,LossAfter,AveragePolicyStd,Entropy,MinReturn,AbsLearnSignal,StdReturn,Iteration,ExplainedVariance,MaxReturn,MeanKLBefore,NumTrajs,AverageReturn,Perplexity,MeanKL
-110.598774286,-1.68897364686e-16,0.0234257947081,-0.0234257947081,0.934481784869,2.69133099329,-231.116363823,0.73664828811,34.2015942697,101,0.758843128443,-66.3755140616,0.0,42,-165.472611863,14.751296737,0.00984792409934
-104.701789105,-4.60577670612e-17,0.0178452125898,-0.0178452125898,0.944377847396,2.71339697205,-222.817433244,0.731479530678,25.0357846541,102,0.784919733078,-82.3179645143,0.0,41,-159.297422006,15.0804163566,0.00644959079389
-106.318474369,-7.77898281676e-18,0.0183483613048,-0.0183483613048,0.947091029791,2.72143747439,-239.266748018,0.732382221414,32.4125759579,103,0.756955667944,-92.7961590528,0.0,41,-161.297243874,15.2021592607,0.00660584197236
-106.901368494,-9.6385921752e-17,0.0178596179056,-0.0178596179056,0.937223471417,2.70164482731,-214.785746494,0.743933322553,27.6434061367,104,0.798134240598,-65.0531750768,0.0,41,-161.168591095,14.9042264533,0.00641104657809
-104.488868825,-2.18797202578e-16,0.017951984073,-0.017951984073,0.944677888966,2.72009234173,-224.234090428,0.773943517451,23.9239728394,105,0.824416997243,-119.724938629,0.0,40,-157.67106108,15.1817240868,0.00645373507387
-103.637444197,1.77216106865e-16,0.0181569532822,-0.0181569532822,0.941333427408,2.71255247117,-215.200488026,0.755197660616,30.2989204675,106,0.778998549348,-44.6355045433,0.0,41,-154.209764025,15.0676863078,0.00642601827022
-104.292520144,-5.58530026851e-18,0.0159643438761,-0.0159643438761,0.938251554494,2.70455712008,-234.145985661,0.743505483808,34.3015034033,107,0.783951209572,-34.9013091819,0.0,41,-156.232782791,14.9476951903,0.00654160238498
-103.845077105,-8.34796500946e-17,0.0189812514753,-0.0189812514753,0.926477254833,2.68118192957,-245.416926438,0.684795627548,36.9405397064,108,0.74649855136,-60.338688231,0.0,42,-154.313811647,14.6023420403,0.00646126450021
-104.466670663,-3.45254473752e-17,0.0211268840632,-0.0211268840632,0.916953493228,2.65960894736,-224.219263005,0.710561353053,34.2589181775,109,0.762631461476,-45.6756774378,0.0,42,-154.226433502,14.2906995901,0.00650895839778
-103.413555558,-1.94981718496e-17,0.020722098402,-0.020722098402,0.91497373493,2.65528773022,-213.020639364,0.717288251173,26.6597446612,110,0.801991206184,-67.3338648709,0.0,41,-155.82531045,14.2290796066,0.00954153362737
-94.7594624709,-1.6722326538e-16,0.0237958807019,-0.0237958807019,0.928382772273,2.68583016686,-220.543354648,0.675798960233,36.3556277133,111,0.679278047865,-36.3531719424,0.0,45,-138.000877242,14.6703751857,0.00969305886667
-106.277400861,1.99253385995e-17,0.0160755112831,-0.0160755112831,0.933237409762,2.69509345396,-224.435297375,0.73529555933,31.996916113,112,0.750457857824,-60.8850918757,0.0,42,-158.200804696,14.8069024524,0.00645970355524
-101.94587444,-1.75746922778e-16,0.0213699299505,-0.0213699299505,0.931831817856,2.68921552976,-237.123769585,0.729381951167,33.3680309026,113,0.705693234408,-68.5639407778,0.0,42,-150.798952569,14.7201238908,0.00967679631196
-101.35279829,1.58135892506e-18,0.016640545106,-0.016640545106,0.941999781579,2.71055816491,-229.184297654,0.709027202523,41.0207348157,114,0.733357830814,-28.5701236636,0.0,43,-149.11147038,15.0376666707,0.00673252497363
-96.054396219,-1.16670279019e-16,0.0202309439391,-0.0202309439391,0.935620233188,2.69860502063,-221.611944099,0.729083101077,26.7316242947,115,0.726532224428,-69.7812292579,0.0,42,-142.021955696,14.8589892771,0.00954700433345
