AveragePolicySurr,AverageQ,PolicyRegParamNorm,AverageReturn,AverageAbsY,StdReturn,AverageEsReturn,MinEsReturn,MaxReturn,AverageAction,MaxEsReturn,AverageDiscountedReturn,AverageAbsQ,Epoch,AverageY,MinReturn,AverageAbsQYDiff,QFunRegParamNorm,AverageQLoss,StdEsReturn
0.3660012624,-0.3712638498,10.9214644576,-100.816703049,0.3712954387,17.7552277635,-101.907480702,-175.637178205,-58.9551052335,0.3422273205,-7.5405402751,-69.8677933527,0.3712638498,57,-0.3712954387,-135.008698947,0.014107828,14.3875145721,0.0005853124,38.5880410849
0.3694517192,-0.3747059612,10.9353079429,-99.8823522258,0.3747190272,17.1283277799,-109.319636997,-194.553751292,-59.794876244,0.3720097726,-52.9333612336,-69.6510606987,0.3747059612,58,-0.3747190272,-156.393747064,0.0138450362,14.4476936623,0.0005608239,39.0448639873
0.373167636,-0.3783955272,10.944760531,-97.433989776,0.3784158071,20.8076310177,-112.296792019,-147.173597634,-18.9704871386,0.3852312142,-84.0101622138,-68.2909246615,0.3783955272,59,-0.3784158071,-138.391749494,0.0141727669,14.5134522881,0.000569683,17.8049944187
0.3770536044,-0.3822275752,10.9626508165,-99.0958251259,0.3822616067,19.6112749521,-110.713348566,-164.35511827,-21.5940338147,0.3881283364,-56.6673890528,-68.6295527359,0.3822275752,60,-0.3822616067,-150.756971595,0.0138946628,14.5617179173,0.0005554264,30.4660909957
0.379813741,-0.384933523,10.9679289392,-100.392959565,0.3849464993,24.9343645479,-119.730554155,-158.907492122,-15.7151179266,0.3974689661,-89.10820925,-70.5727492828,0.384933523,61,-0.3849464993,-171.00780878,0.0139348587,14.617045315,0.0005617607,19.144745926
0.3850981516,-0.3901019548,10.9750799163,-98.0792860357,0.3901180268,15.4592856413,-88.3187563196,-150.606268569,-48.7865525763,0.3785718846,-18.81694887,-68.4004480792,0.3901019548,62,-0.3901180268,-131.667360307,0.0144336157,14.6618642067,0.0006384275,38.0663549686
0.3865532184,-0.3917380108,10.9837403006,-93.0448081031,0.391736378,22.9065795092,-102.238238722,-151.293650554,-22.6095352193,0.3918708096,-23.4161510247,-65.619537652,0.3917380108,63,-0.391736378,-144.561376591,0.013639547,14.7149751365,0.0005223665,33.6267808154
0.3904418469,-0.3954116108,11.0058218697,-98.3232972497,0.3954717367,22.0414589697,-106.575771969,-153.238568291,-21.1804153942,0.3811453144,-60.172098604,-68.7663249035,0.3954116108,64,-0.3954717367,-145.234254594,0.0141703089,14.7566783415,0.0006055764,28.0568763986
0.3932854084,-0.398449652,11.0257080784,-87.0288086299,0.3984796301,28.0812146591,-91.155519726,-171.795251265,-15.494004048,0.323721997,-52.3357889786,-63.7364617409,0.398449652,65,-0.3984796301,-160.522138169,0.0138485116,14.7849696013,0.0005732608,35.2689882588
0.3973605675,-0.4026412941,11.0441358392,-89.0646168885,0.402674784,28.2189553842,-100.924850565,-159.50683953,-26.6386806518,0.3523549638,-31.7622166585,-63.8717882072,0.4026412941,66,-0.402674784,-170.843509622,0.0139061119,14.8266211334,0.000569962,37.8883812333
